"region","ålder","2019"
"01 Stockholms län","0",28474
"01 Stockholms län","1",29033
"01 Stockholms län","2",29268
"01 Stockholms län","3",30116
"01 Stockholms län","4",29822
"01 Stockholms län","5",30181
"01 Stockholms län","6",29885
"01 Stockholms län","7",29592
"01 Stockholms län","8",29509
"01 Stockholms län","9",30741
"01 Stockholms län","10",29678
"01 Stockholms län","11",29679
"01 Stockholms län","12",28956
"01 Stockholms län","13",28592
"01 Stockholms län","14",27572
"01 Stockholms län","15",27466
"01 Stockholms län","16",26691
"01 Stockholms län","17",26004
"01 Stockholms län","18",24996
"01 Stockholms län","19",24971
"01 Stockholms län","20",24777
"01 Stockholms län","21",23503
"01 Stockholms län","22",23922
"01 Stockholms län","23",25847
"01 Stockholms län","24",29107
"01 Stockholms län","25",32932
"01 Stockholms län","26",35058
"01 Stockholms län","27",37424
"01 Stockholms län","28",38843
"01 Stockholms län","29",40593
"01 Stockholms län","30",39756
"01 Stockholms län","31",39352
"01 Stockholms län","32",37755
"01 Stockholms län","33",37671
"01 Stockholms län","34",36645
"01 Stockholms län","35",36023
"01 Stockholms län","36",35033
"01 Stockholms län","37",35202
"01 Stockholms län","38",34688
"01 Stockholms län","39",35727
"01 Stockholms län","40",33739
"01 Stockholms län","41",32398
"01 Stockholms län","42",32153
"01 Stockholms län","43",32656
"01 Stockholms län","44",33106
"01 Stockholms län","45",34493
"01 Stockholms län","46",33879
"01 Stockholms län","47",34040
"01 Stockholms län","48",33291
"01 Stockholms län","49",31681
"01 Stockholms län","50",30363
"01 Stockholms län","51",31002
"01 Stockholms län","52",31613
"01 Stockholms län","53",32159
"01 Stockholms län","54",31947
"01 Stockholms län","55",32079
"01 Stockholms län","56",29219
"01 Stockholms län","57",27812
"01 Stockholms län","58",26197
"01 Stockholms län","59",25254
"01 Stockholms län","60",24444
"01 Stockholms län","61",24095
"01 Stockholms län","62",23849
"01 Stockholms län","63",23188
"01 Stockholms län","64",21965
"01 Stockholms län","65",21059
"01 Stockholms län","66",20796
"01 Stockholms län","67",20475
"01 Stockholms län","68",19591
"01 Stockholms län","69",20153
"01 Stockholms län","70",20192
"01 Stockholms län","71",20838
"01 Stockholms län","72",21244
"01 Stockholms län","73",20937
"01 Stockholms län","74",20714
"01 Stockholms län","75",20057
"01 Stockholms län","76",18140
"01 Stockholms län","77",16083
"01 Stockholms län","78",13705
"01 Stockholms län","79",12143
"01 Stockholms län","80",11466
"01 Stockholms län","81",10595
"01 Stockholms län","82",9284
"01 Stockholms län","83",8561
"01 Stockholms län","84",7513
"01 Stockholms län","85",6559
"01 Stockholms län","86",5921
"01 Stockholms län","87",5533
"01 Stockholms län","88",5022
"01 Stockholms län","89",4390
"01 Stockholms län","90",3682
"01 Stockholms län","91",3242
"01 Stockholms län","92",2664
"01 Stockholms län","93",2217
"01 Stockholms län","94",1874
"01 Stockholms län","95",1428
"01 Stockholms län","96",1094
"01 Stockholms län","97",723
"01 Stockholms län","98",565
"01 Stockholms län","99",391
"01 Stockholms län","100+",524
"03 Uppsala län","0",4324
"03 Uppsala län","1",4447
"03 Uppsala län","2",4484
"03 Uppsala län","3",4695
"03 Uppsala län","4",4826
"03 Uppsala län","5",4663
"03 Uppsala län","6",4532
"03 Uppsala län","7",4782
"03 Uppsala län","8",4547
"03 Uppsala län","9",4744
"03 Uppsala län","10",4541
"03 Uppsala län","11",4685
"03 Uppsala län","12",4458
"03 Uppsala län","13",4431
"03 Uppsala län","14",4306
"03 Uppsala län","15",4351
"03 Uppsala län","16",4219
"03 Uppsala län","17",4190
"03 Uppsala län","18",4066
"03 Uppsala län","19",4372
"03 Uppsala län","20",4968
"03 Uppsala län","21",5210
"03 Uppsala län","22",5356
"03 Uppsala län","23",5768
